players,assists,damage_received,headshots,tier,traded,kills,matches,deaths,damage,kd_ratio,damage_per_match,headshots_per_match,kills_per_match,,
404,2819,1485828,3295,silver,1323,7365,514,7717,1368107,14.33,177.28,0.43,0.95,,
405,2818,1445414,3737,silver,1235,7586,547,7488,1406781,13.87,187.87,0.50,1.01,,
406,2814,1404293,3512,silver,1102,6531,472,7131,1202568,13.84,168.64,0.49,0.92,,
407,2806,1681422,3480,silver,1413,7459,555,8966,1533082,13.44,170.99,0.39,0.83,,
408,2806,1524647,3404,silver,1452,7607,467,7745,1470812,16.29,189.90,0.44,0.98,,
409,2797,1519700,3838,silver,1436,7318,501,7916,1363778,14.61,172.28,0.48,0.92,,
410,2795,1303776,3448,silver,1103,6135,448,6851,1202696,13.69,175.55,0.50,0.90,,
411,2785,1321643,3516,silver,1204,6761,480,7100,1253920,14.09,176.61,0.50,0.95,,
412,2784,1719073,5120,silver,1424,9233,567,8792,1791964,16.28,203.82,0.58,1.05,,
413,2783,1164350,3376,silver,941,7909,417,5683,1459284,18.97,256.78,0.59,1.39,,
414,2781,1643980,4589,silver,1538,8687,551,8686,1566326,15.77,180.33,0.53,1.00,,
415,2769,1578965,3910,silver,1488,7399,511,8239,1415538,14.48,171.81,0.47,0.90,,
416,2765,1501664,3519,silver,1271,8002,523,7953,1518821,15.30,190.97,0.44,1.01,,
417,2746,2082685,5944,silver,1920,11210,656,11062,2032429,17.09,183.73,0.54,1.01,,
418,2722,1480488,4768,bronze,1344,7927,489,7782,1489263,16.21,191.37,0.61,1.02,,
419,2718,2095148,6762,silver,1757,10183,651,10728,1944649,15.64,181.27,0.63,0.95,,
420,2710,1484921,4044,silver,1269,7489,490,7562,1450743,15.28,191.85,0.53,0.99,,
421,2708,1776575,5125,silver,1523,8149,577,9135,1556371,14.12,170.37,0.56,0.89,,
422,2704,1302611,3390,silver,1080,6530,449,6670,1248029,14.54,187.11,0.51,0.98,,
423,2701,1181622,2490,bronze,1086,6381,391,6041,1285735,16.32,212.83,0.41,1.06,,
424,2700,1217750,3353,silver,1130,5992,432,6581,1158331,13.87,176.01,0.51,0.91,,
425,2690,1786311,4562,silver,1493,7906,556,9224,1556795,14.22,168.78,0.49,0.86,,
426,2681,1750581,4490,silver,1684,6745,641,9275,1273446,10.52,137.30,0.48,0.73,,
427,2674,1683821,6131,silver,1367,9201,578,9175,1755637,15.92,191.35,0.67,1.00,,
428,2656,1996189,7450,silver,2025,11865,678,10625,2159666,17.50,203.26,0.70,1.12,,
429,2654,1585565,4485,silver,1372,8965,527,8298,1629260,17.01,196.34,0.54,1.08,,
430,2639,1370282,3132,silver,1278,6575,501,7149,1253306,13.12,175.31,0.44,0.92,,
431,2436,1434950,3989,silver,1124,8052,507,7325,1490059,15.88,203.42,0.54,1.10,,
432,2429,1506354,4660,silver,1332,8331,491,7920,1559137,16.97,196.86,0.59,1.05,,
433,2428,1264172,2504,bronze,1205,6051,445,6756,1199735,13.60,177.58,0.37,0.90,,
434,2427,1350392,3466,silver,1080,7461,439,6847,1397573,17.00,204.11,0.51,1.09,,
435,2409,1424935,3169,silver,1182,6797,473,7418,1319442,14.37,177.87,0.43,0.92,,
436,2391,1463286,4841,silver,1297,7098,503,7660,1375005,14.11,179.50,0.63,0.93,,
